Incident_Nr,Arrest_Date,Officer,Officer_Last_Name,Officer_Badge_Id,Arrest_Nr,Age,Gender,Race,Charge
170000001077-001,1/5/2017,Smith 499,Smith,,A17000096520,28,Male,White,DRIVING WHILE INTOXICATED
170000001114-001,1/5/2017,,,,C16000428002,26,Male,Black,
170000001115-001,1/6/2017,,,,C17000001115,26,Female,White,
170000001115-002,1/6/2017,,,,C17000420231,24,Female,White,
170000001116-001,1/6/2017,T Davidson 12617,Davidson,12617,A17000096522,23,Male,Black,AGG ROBBERY
170000001128-001,1/6/2017,Smith 499,Smith,,A17000096523,23,Male,Black,POSS MARIJ <2OZ
170000001134-001,1/6/2017,Aubry 12619,Aubry,12619,A17000096525,34,Male,White,POSS CS PG 1 <1G
170000001134-002,1/6/2017,Aubry 12619,Aubry,12619,A17000096524,30,Male,White,POSS CS PG 1 <1G
170000001134-003,1/6/2017,Aubry 12619,Aubry,12619,A17000096521,31,Male,White,POSS CS PG 1 <1G
170000001134-004,1/6/2017,Aubry 12619,Aubry,12619,A17000096526,24,Female,White,POSS CS PG 1 <1G
170000001255-001,1/6/2017,Tennant 13045,Tennant,13045,A17000096529,42,Male,White,Theft Prop >=$30k<$150k
170000001264-001,1/6/2017,Osborne 12620,Osborne,12620,A17000096530,35,Female,White,
170000001318-001,1/6/2017,,,,C17000429126,30,Male,White,
170000001338-001,1/6/2017,Allen 12748,Allen,12748,A17000096531,48,Female,White,Public Intoxication - Other Substance
170000001340-001,1/7/2017,Tennant 13045,Tennant,13045,A17000096532,25,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000001353-001,1/7/2017,,,,C17000428005,27,Male,White,
170000001468-001,1/7/2017,Osborne 12620,Osborne,12620,A17000096533,49,Male,Black,
170000001539-001,1/8/2017,Wisener 12586,Wisener,12586,C17000001735,35,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000001568-001,1/8/2017,,,,C17000424303,28,Male,White,
170000001571-001,1/8/2017,Tennant 13045,Tennant,13045,A17000096534,28,Male,White,Public Intoxication - Other Substance
170000001583-001,1/8/2017,Cyrus     12833,Cyrus,12833,A17000096535,35,Male,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000001665-001,3/26/2017,Tureaud #12967,Tureaud,12967,0M17-016JP11,26,Male,White,
170000001667-001,1/8/2017,Tureaud #12967,Tureaud,12967,A17000096536,34,Female,Black,Theft Prop >=$100<$750
170000001716-001,1/8/2017,Royal-12585,Royal,12585,A17000096537,24,Male,White,ROBBERY
170000001748-001,1/9/2017,Wisener 12586,Wisener,12586,A17000096538,29,Female,White,
170000001748-002,1/9/2017,,,,C17000429381,24,Male,White,
170000001778-001,1/13/2017,Buller 478,Buller,,A17000096566,39,Male,White,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNU
170000001803-001,1/9/2017,,,,C17000422208,24,Female,Black,Assault Physical Contact
170000001803-002,1/9/2017,,,,C17000422210,25,Female,Black,Assault Physical Contact
170000001811-002,1/13/2017,Daenzer 12121,Daenzer,12121,A17000096567,47,Male,White,
170000001853-001,1/9/2017,,,,C17000427386,22,Male,White,Theft < $100
170000001866-001,1/9/2017,Gonzales,Gonzales,,A17000096540,35,Male,White,
170000001866-002,1/9/2017,Gonzales 12911,Gonzales,12911,A17000096539,57,Male,White,
170000001890-001,1/9/2017,Wooten 12966/473,Wooten,12966,A17000096541,22,Male,White,POSS CS PG 1 >=1G<4G
170000001911-001,1/9/2017,C. Cormier 11898,Cormier,11898,A17000096542,25,Male,White,POSS MARIJ <2OZ
170000001919-001,1/10/2017,Aubry 12619,Aubry,12619,A17000096543,36,Female,White,
170000001932-001,1/10/2017,C. Cormier 11898,Cormier,11898,A17000096546,26,Male,White,POSS CS PG 3 < 28G
170000001932-002,1/10/2017,C. Cormier 11898,Cormier,11898,A17000096545,26,Male,White,POSS MARIJ <2OZ
170000001932-003,1/10/2017,,,,C,26,Male,White,
170000001942-001,1/10/2017,Aubry 12619,Aubry,12619,A17000096547,43,Male,White,POSS CS PG 1 >=1G<4G
170000001942-002,1/10/2017,Aubry 12619,Aubry,12619,A17000096548,40,Female,White,POSS CS PG 1 <1G
170000001972-001,1/10/2017,Gonzales 12911,Gonzales,12911,A17000096550,24,Male,White,
170000001972-002,1/10/2017,Gonzales 12911,Gonzales,12911,A17000096549,30,Male,White,
170000002102-001,1/10/2017,Tureaud #12967,Tureaud,12967,A17000096551,23,Male,White,POSS MARIJ <2OZ
170000002109-001,1/10/2017,Smith 12075,Smith,12075,A17000096552,32,Male,White,POSS CS PG 1 <1G
170000002109-002,1/10/2017,Smith 12075,Smith,12075,A17000096553,31,Male,White,POSS CS PG 1 <1G
170000002121-001,1/10/2017,Wooten 12966,Wooten,12966,A17000096554,45,Male,White,Public Intoxication - Other Substance
170000002151-001,1/11/2017,,,,C17000428649,24,Male,Black,
170000002152-001,1/11/2017,T Davidson 12617/#468,Davidson,12617,A17000096555,26,Male,White,BURGLARY OF VEHICLE
170000002161-001,1/11/2017,,,,C17000428007,26,Male,Black,
170000002164-001,1/11/2017,,,,C17000428008,30,Male,White,
170000002173-001,1/11/2017,,,,C17000428009,26,Male,White,
170000002186-001,1/11/2017,C. Cormier 11898,Cormier,11898,A17000096556,25,Male,White,POSS CS PG 1 <1G
170000002191-001,1/11/2017,Aubry,Aubry,,A17000096558,38,Male,White,
170000002191-002,1/11/2017,Aubry 12619,Aubry,12619,A17000096557,38,Male,White,POSS CS PG 1 >=1G<4G
170000002370-001,1/11/2017,,,,C17000422594,34,Male,White,
170000002370-002,1/11/2017,,,,C17000427429,31,Male,White,
170000002384-001,1/11/2017,Tureaud #12967,Tureaud,12967,A17000096559,31,Male,White,Purchase Furnish Alcohol To A Minor
170000002425-001,1/12/2017,Wisener 12586,Wisener,12586,A17000096560,34,Male,White,DRIVING WHILE INTOXICATED
170000002628-001,1/12/2017,Tureaud #12976,Tureaud,12976,A17000096561,46,Male,White,Theft Prop >=$100<$750
170000002707-001,1/12/2017,,,,C17000420233,23,Female,White,Misrep of Age by Minor
170000002715-001,1/13/2017,Wisener 12586,Wisener,12586,A17000096564,25,Male,White,
170000002717-001,1/13/2017,,,,C16000428010,25,Male,White,
170000002721-001,1/13/2017,,,,C17000420234,23,Male,White,Misrep of Age by Minor
170000002722-001,1/13/2017,,,,C17000428011,28,Male,White,
170000002724-001,1/13/2017,Hartman 11936,Hartman,11936,A17000096562,26,Male,White,Public Intoxication - Other Substance
170000002727-001,1/13/2017,Osborne 12620,Osborne,12620,A17000096563,25,Male,White,Unl Carrying Weapon
170000002736-001,1/13/2017,Tureaud #12967,Tureaud,12967,A17000096565,25,Male,White,DRIVING WHILE INTOXICATED BAC >= 0.15
170000002880-001,1/13/2017,Charleswell 11125,Charleswell,11125,A17000096568,26,Male,Black,POSS DANGEROUS DRUG
170000002883-001,1/13/2017,V. Fischer 12311,Fischer,12311,A17000096569,29,Male,White,Public Intoxication - Other Substance
170000002907-001,1/14/2017,Gonzales 12911,Gonzales,12911,A17000096570,25,Female,White,POSS MARIJ <2OZ
170000002911-001,1/13/2017,Aubry 12619,Aubry,12619,A17000096571,34,Male,White,POSS CS PG 1 <1G
170000002911-002,1/14/2017,Aubry 12619,Aubry,12619,A17000096572,44,Male,White,Public Intoxication - Other Substance
170000002916-001,1/14/2017,Beller 11288,Beller,11288,A17000096573,23,Female,White,EVADING ARREST DETENTION
170000002936-001,1/14/2017,Charleswell 11125,Charleswell,11125,A17000096575,25,Male,White,Public Intoxication - Other Substance
170000002944-001,1/14/2017,C. Cormier 11898,Cormier,11898,A17000096577,25,Male,White,DRIVING WHILE INTOXICATED/OPEN ALCH CONT
170000002944-002,1/14/2017,C. Cormier 11898,Cormier,11898,A17000096576,30,Male,White,POSS CS PG 1 <1G
170000002946-001,1/14/2017,Wooten 12966/473,Wooten,12966,A17000096574,29,Female,White,DRIVING WHILE INTOXICATED BAC >= 0.15
170000003002-001,1/14/2017,B. Pierce #438/12683,Pierce,12683,A17000096578,39,Female,White,Injury Child/elderly/disable W/int Bodil
170000003046-001,1/14/2017,Wooten 12966,Wooten,12966,A17000096579,25,Female,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000003072-001,1/14/2017,Tureaud #12967,Tureaud,12967,A17000096580,40,Male,White,POSS MARIJ <2OZ
170000003083-001,1/14/2017,Sarver 12832,Sarver,12832,A17000096581,48,Female,White,Public Intoxication - Other Substance
170000003102-001,1/14/2017,,,,C17000418723,33,Male,White,
170000003107-001,1/14/2017,Cyrus    12833,Cyrus,12833,A17000096582,42,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000003108-001,1/14/2017,Tennant 13045,Tennant,13045,A17000096583,25,Male,White,POSS MARIJ <2OZ
170000003110-001,1/14/2017,C. Cormier 11898,Cormier,11898,A17000096584,28,Male,Black,Public Intoxication - Other Substance
170000003133-001,1/15/2017,,,,C17000420236,23,Female,White,Misrep of Age by Minor
170000003133-002,1/15/2017,,,,C17000420235,23,Male,White,Misrep of Age by Minor
170000003140-001,1/15/2017,,,,C17000420237,25,Male,White,
170000003150-001,1/15/2017,,,,C17000421416,25,Male,White,
170000003150-002,1/15/2017,,,,C17000421415,27,Female,White,
170000003154-001,1/15/2017,,,,C17000421418,27,Male,White,
170000003154-002,1/15/2017,,,,C16000421417,24,Female,White,Consumption Of Alcohol By A Minor 3rd-En
170000003158-001,1/15/2017,Wooten 12966/473,Wooten,12966,A17000096585,44,Male,White,INTERFER W/PUBLIC DUTIES
170000003317-001,1/15/2017,Aubry 12619,Aubry,12619,A17000096586,25,Male,Black,POSS MARIJ >4OZ<=5LBS
170000003352-001,1/16/2017,C. Cormier 11898,Cormier,11898,A17000096587,25,Male,White,MAN DEL CS PG 1 >=1G<4G
170000003377-001,1/16/2017,Aubry 12619,Aubry,12619,A17000096588,40,Male,White,FRAUD USE/POSS IDENTIFYING INFO # ITEMS
170000003377-002,1/16/2017,Aubry 12619,Aubry,12619,A17000096589,35,Female,White,FRAUD USE/POSS IDENTIFYING INFO # ITEMS
170000003535-001,1/16/2017,Blackwood #12741,Blackwood,12741,A17000096590,58,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000003545-001,1/16/2017,Duckworth 12478,Duckworth,12478,A17000096591,28,Male,White,CRIMINAL TRESPASS
170000003589-001,1/17/2017,Wisener 12586,Wisener,12586,A17000096592,25,Male,White,BURGLARY OF VEHICLE
170000003594-001,1/17/2017,Osborne 12620,Osborne,12620,A17000096593,24,Male,Black,
170000003603-001,1/17/2017,Cope/459,Cope,,A17000096595,36,Male,White,POSS MARIJ >4OZ<=5LBS
170000003603-002,1/17/2017,Cope/459,Cope,,A17000096594,36,Female,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000003727-001,1/17/2017,,,,C17000422597,37,Male,Black,Theft < $100
170000003816-001,1/17/2017,Elrod 11796,Elrod,11796,A17000096596,23,Male,White,
170000003846-001,1/18/2017,Contreras 12772,Contreras,12772,A17000096597,57,Male,White,AGG ASSAULT W/DEADLY WEAPON
170000003945-001,1/18/2017,C. Cormier 11898,Cormier,11898,A17000096598,31,Female,White,
170000004024-001,1/18/2017,,,,C17000428722,25,Male,White,
170000004087-001,1/19/2017,,,,C17000426541,44,Male,Black,
170000004126-001,1/19/2017,B. Pierce 438/12683,Pierce,12683,A17000096600,38,Male,White,CRIMINAL TRESPASS
170000004172-001,1/19/2017,C. Cormier 11898,Cormier,11898,A17000096601,37,Male,White,
170000004299-001,1/19/2017,Prado,Prado,,A17000096602,50,Male,White,PUBLIC INTOXICATION: MINOR 3RD ENH
170000004313-001,1/19/2017,Aubry 12619,Aubry,12619,A17000096603,38,Male,White,
170000004339-001,1/20/2017,Wooten 12966/473,Wooten,12966,A17000096604,23,Male,White,EVADING ARREST DET W/VEH
170000004340-001,1/20/2017,Charleswell 11125,Charleswell,11125,A17000096605,57,Male,White,POSS CS PG 1 <1G
170000004341-001,1/20/2017,,,,C17000423395,22,Male,White,
170000004352-001,1/20/2017,T Davidson 12617/#468,Davidson,12617,A17000096606,22,Female,White,
170000004364-001,1/20/2017,Putnam 12768,Putnam,12768,A17000096607,24,Male,White,DRIVING WHILE INTOXICATED
170000004373-001,1/20/2017,,,,C17000429226,22,Male,White,Consumption Of Alcohol By A Minor 3rd-En
170000004385-001,1/20/2017,J. Saavedra,Saavedra,,A17000096608,53,Male,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000004385-002,1/20/2017,J. Saavedra,Saavedra,,A17000096609,50,Female,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000004554-001,1/20/2017,,,,C17000423481,21,Male,Black,
170000004554-002,1/20/2017,,,,C17000004554,22,Male,White,
170000004554-003,1/20/2017,,,,C17000423480,21,Male,White,
170000004608-001,1/20/2017,,,,C17000422144,22,Male,Black,
170000004626-001,1/21/2017,,,,C17000428015,31,Male,Black,
170000004626-002,1/21/2017,,,,C17000428014,24,Female,Black,
170000004627-001,1/21/2017,Hartman 11936,Hartman,11936,A17000096610,45,Male,White,Public Intoxication - Other Substance
170000004629-001,1/21/2017,Prado,Prado,,A17000096611,26,Male,White,Public Intoxication - Other Substance
170000004643-001,1/21/2017,,,,C17000004643,26,Male,White,
170000004643-002,1/21/2017,,,,C17000428723,25,Male,White,
170000004652-001,1/21/2017,Prado,Prado,,A17000096612,29,Male,White,Public Intoxication - Other Substance
170000004659-001,1/21/2017,Osborne 12620,Osborne,12620,A17000096613,24,Male,Black,DRIVING WHILE INTOXICATED
170000004663-001,1/21/2017,Cope/12618,Cope,12618,A17000096616,29,Male,White,DEADLY CONDUCT DISCHARGE FIREARM
170000004663-002,1/21/2017,Cope/12618,Cope,12618,A17000096617,28,Male,White,Public Intoxication - Other Substance
170000004663-003,1/21/2017,Cope/SMPD,Cope,,A17000096615,37,Female,White,Public Intoxication - Other Substance
170000004663-004,1/21/2017,Cope/12618,Cope,12618,A17000096614,33,Male,White,Public Intoxication - Other Substance
170000004726-001,1/21/2017,,,,C17000427100,30,Male,White,
170000004888-001,1/22/2017,,,,C17000429185,25,Male,Black,
170000004911-001,1/22/2017,,,,C17000428443,22,Male,White,
170000004925-001,1/22/2017,Osborne 12620,Osborne,12620,A17000096618,31,Female,White,Public Intoxication - Other Substance
170000004927-001,1/22/2017,,,,C17000425923,34,Male,Black,
170000004938-001,1/22/2017,,,,C17000424304,29,Male,White,
170000004939-001,1/22/2017,Blackwood #12741,Blackwood,12741,A17000096619,25,Male,White,Public Intoxication - Other Substance
170000004954-001,1/22/2017,Royal-12585,Royal,12585,A17000096620,28,Male,Black,Reckless Driving
170000004969-001,1/22/2017,K. Raven 451,Raven,,A17000096621,40,Male,White,Public Intoxication - Other Substance
170000005016-001,1/24/2017,Templeton 11946,Templeton,11946,A17000096633,20,Male,White,AGG ROBBERY
170000005016-002,1/26/2017,Templeton 11946,Templeton,11946,A17000096649,25,Male,White,AGG ROBBERY
170000005016-003,1/26/2017,Allen 12748,Allen,12748,A17000096650,28,Male,White,AGG ROBBERY
170000005064-001,1/22/2017,,,,C17000423482,23,Female,White,Theft < $100
170000005064-002,1/22/2017,,,,C17000423483,23,Male,White,
170000005081-001,1/22/2017,Osborne 12620,Osborne,12620,A17000096622,20,Male,White,
170000005163-001,1/23/2017,Royal-12585,Royal,12585,A17000096623,27,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000005169-001,1/23/2017,Pierce 12683,Pierce,12683,A17000096624,28,Male,White,Duty On Striking Unattended Vehicle
170000005310-001,1/23/2017,Wooten 12966/473,Wooten,12966,A17000096625,43,Male,White,DRIVING WHILE INTOXICATED
170000005357-001,1/23/2017,,,,C17000005357,24,Male,White,Theft < $100
170000005387-001,1/24/2017,Tennant 13045,Tennant,13045,A17000096626,39,Female,White,DRIVING WHILE INTOXICATED
170000005394-001,1/24/2017,Charleswell 11125,Charleswell,11125,A17000096627,24,Female,White,POSS CS PG 3 < 28G
170000005404-001,1/24/2017,Aubry 12619,Aubry,12619,A17000096628,50,Male,White,
170000005489-001,1/24/2017,Daenzer 12121,Daenzer,12121,A17000096629,45,Male,White,Theft Prop >=$100<$750
170000005507-001,1/24/2017,C. Cormier 11898,Cormier,11898,A17000096630,30,Male,Black,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000005539-001,1/24/2017,Scott 11908,Scott,11908,A17000096631,55,Male,White,
170000005548-001,1/24/2017,Wooten 12966,Wooten,12966,A17000096632,47,Female,White,Public Intoxication - Other Substance
170000005572-001,1/24/2017,,,,C17000425841,27,Male,White,
170000005580-001,1/24/2017,,,,C17000403239,21,Male,White,Theft < $100
170000005622-001,1/24/2017,,,,C17000420242,22,Female,White,Misrep of Age by Minor
170000005634-001,1/25/2017,Tennant 13045,Tennant,13045,A17000096634,62,Male,White,"Theft Prop >=$750<$2,500"
170000005639-001,1/25/2017,,,,C17000423398,24,Male,Black,
170000005643-001,1/25/2017,Prado,Prado,,A17000096635,24,Male,Black,"Criminal Mischief >=$750<$2,500"
170000005655-001,1/25/2017,Wooten 12966/473,Wooten,12966,A17000096636,28,Male,White,
170000005661-001,1/25/2017,Tureaud #12967,Tureaud,12967,A17000096637,50,Male,White,DRIVING WHILE INTOXICATED
170000005668-001,1/25/2017,Aubry 12619,Aubry,12619,A17000096638,41,Male,White,FRAUD USE/POSS IDENTIFYING INFO # ITEMS
170000005668-002,1/25/2017,Aubry 12619,Aubry,12619,A17000096639,35,Female,White,FRAUD USE/POSS IDENTIFYING INFO # ITEMS
170000005676-001,1/25/2017,Putnam 12768,Putnam,12768,A17000005676,25,Male,Asian,Public Intoxication - Other Substance
170000005784-001,1/25/2017,,,,A17000096641,57,Male,White,Public Intoxication - Other Substance
170000005802-001,1/25/2017,K. Raven 451/12076,Raven,12076,A17000096642,38,Female,White,
170000005814-001,1/25/2017,Tureaud #12967,Tureaud,12967,A17000096643,28,Female,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000005835-001,1/25/2017,V. Fischer 12311,Fischer,12311,A17000096644,41,Male,White,POSS CS PG 1 <1G
170000005885-001,1/26/2017,Allen 12748,Allen,12748,A17000096645,26,Male,White,Public Intoxication - Other Substance
170000005897-001,1/26/2017,CONTRERAS 12772,Contreras,12772,A17000096646,27,Male,White,DRIVING WHILE INTOXICATED
170000005902-001,1/26/2017,Royal-12585,Royal,12585,A17000096647,27,Female,White,DRIVING WHILE INTOXICATED BAC >= 0.15
170000005968-001,1/26/2017,SEMBERA 11295,Sembera,11295,A17000096648,66,Male,White,Public Intoxication - Other Substance
170000006148-001,1/27/2017,Osborne 12620,Osborne,12620,A17000096651,24,Female,White,MAN DEL CS PG 3/4 <28G
170000006148-002,1/27/2017,Contreras 12772,Contreras,12772,A17000096653,22,Female,White,AGG ROBBERY
170000006148-003,1/27/2017,Contreras 12772,Contreras,12772,A17000096655,22,Female,White,AGG ROBBERY
170000006148-004,1/27/2017,Contreras 12772,Contreras,12772,A17000096652,22,Male,White,AGG ROBBERY
170000006148-005,1/27/2017,Contreras 12772,Contreras,12772,A17000096654,31,Male,Black,AGG ROBBERY
170000006173-001,1/27/2017,Wisener 12586,Wisener,12586,A17000096656,30,Male,White,DRIVING WHILE INTOXICATED BAC >= 0.15
170000006230-001,1/27/2017,Daenzer 12121,Daenzer,12121,A17000096657,52,Male,White,CRIMINAL TRESPASS
170000006258-001,1/27/2017,C. Cormier 11898,Cormier,11898,A17000096658,29,Male,White,
170000006304-001,1/27/2017,Beller 11288,Beller,11288,A17000096662,38,Male,White,POSS CS PG 1 >=4G<200G
170000006304-002,1/27/2017,Beller 11288,Beller,11288,A17000096659,31,Male,White,POSS CS PG 1 >=4G<200G
170000006304-003,1/27/2017,Beller 11288,Beller,11288,A17000096660,29,Female,White,POSS CS PG 1 >=4G<200G
170000006304-004,1/27/2017,Beller 11288,Beller,11288,A17000096661,22,Female,White,POSS MARIJ <2OZ
170000006322-001,1/27/2017,Wooten 12966/473,Wooten,12966,A17000096663,63,Female,White,
170000006337-001,1/27/2017,Tureaud #12967,Tureaud,12967,A17000096664,28,Male,White,POSS MARIJ <2OZ
170000006337-002,1/27/2017,,,,C17000429302,27,Male,White,
170000006355-001,1/27/2017,Crook #470/11910,Crook,11910,A17000096665,25,Female,White,POSS CS PG 3 < 28G
170000006368-001,1/29/2017,,,,C17000426545,23,Male,White,
170000006368-002,1/29/2017,,,,C17000426546,22,Male,White,
170000006368-003,1/27/2017,,,,C17000429303,23,Male,White,
170000006373-001,1/27/2017,,,,C17000420244,28,Male,White,
